
Getting data from wss://ptmessaging-eu1bc.prd.jifeline.cloud/ptmessaging/ef2d8651-3685-4abc-98db-c79bf7b7a651?bufferSize=1000&amp;useArrayFormat=true
14:07:43.896 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[^^^^] target[^^^^] data[0000000000000000...0000000000000000] length[523]
14:07:43.957 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1021] data[224682]
14:07:44.025 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1021] target[0E80] data[7F2278]
14:07:44.036 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1021] target[0E80] data[6246827B0A092243...09097D2C0A09097B] length[908]
14:07:44.041 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[^^^^] target[^^^^] data[0A09090922646174...4E47222C0A090909] length[972]
14:07:44.043 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[^^^^] target[^^^^] data[2274696D652D7374...65722D726D6E6574] length[972]
14:07:44.079 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[^^^^] target[^^^^] data[3522203A20223733...3864313137356522] length[972]
14:07:44.084 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[^^^^] target[^^^^] data[0A09097D2C0A0909...6475616C2D61706E] length[972]
14:07:44.099 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[^^^^] target[^^^^] data[2D6F6E22203A2022...656374696F6E2D73] length[972]
14:07:44.136 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[^^^^] target[^^^^] data[7461746522203A20...2274696D652D7374] length[972]
14:07:44.345 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[^^^^] target[^^^^] data[616D7022203A2022...0000000000000000] length[972]
14:07:44.345 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[^^^^] target[^^^^] data[0000000000000000...0000000000000000] length[291]
14:07:44.369 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1021] data[22469B]
14:07:44.440 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1021] target[0E80] data[7F2278]
14:07:44.462 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1021] target[0E80] data[62469B5B0A097B0A...0A09090909226D6E] length[908]
14:07:44.474 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[^^^^] target[^^^^] data[6322203A20223330...74616D7022203A20] length[972]
14:07:44.478 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[^^^^] target[^^^^] data[2236386432386362...0909097D0A09095D] length[523]
14:07:44.498 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1021] data[22D062]
14:07:44.563 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1021] target[0E80] data[7F2278]
14:07:44.563 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1021] target[0E80] data[7F2231]
14:07:44.627 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1021] data[22D06C]
14:07:44.694 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1021] target[0E80] data[7F2278]
14:07:44.694 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1021] target[0E80] data[7F2231]
14:07:44.755 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1021] data[22FD42]
14:07:44.790 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1FFF] data[3E80]
14:07:44.817 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1021] target[0E80] data[7F2278]
14:07:44.836 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1021] target[0E80] data[62FD42323032352D30392D32335431323A30373A34332E3030305A]
14:07:44.876 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1021] data[22D0E7]
14:07:44.963 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1021] target[0E80] data[7F2278]
14:07:44.978 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1021] target[0E80] data[62D0E70101006548BA0F010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000]
14:07:45.029 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1021] data[2245FF]
14:07:45.096 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1021] target[0E80] data[7F2278]
14:07:45.147 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1021] target[0E80] data[6245FF0000]
14:07:45.165 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1021] data[22EE01]
14:07:45.240 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1021] target[0E80] data[7F2278]
14:07:45.253 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1021] target[0E80] data[62EE010000000000...0000000000000000] length[908]
14:07:45.258 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[^^^^] target[^^^^] data[0000000000000000...0000000000000000] length[972]
14:07:45.309 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[^^^^] target[^^^^] data[0000000000000000...0000000000000000] length[972]
14:07:45.309 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[^^^^] target[^^^^] data[0000000000000000...0000000000000000] length[301]
14:07:45.367 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1021] data[224663]
14:07:45.439 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1021] target[0E80] data[7F2278]
14:07:45.499 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1021] target[0E80] data[624663641A646464645054104D4D4D644164153B643B6464501A505050504E64136464406440510D4E4E574E50531854545252526415646464646454104D4D64414158165858585858]
14:07:45.518 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1021] data[2245F7]
14:07:45.577 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1021] target[0E80] data[7F2278]
14:07:45.616 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1021] target[0E80] data[6245F764760100]
14:07:45.637 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1002] data[22D05D]
14:07:45.707 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1002] target[0E80] data[62D05D0000]
14:07:45.774 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1421] data[22209B]
14:07:45.790 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1FFF] data[3E80]
14:07:45.896 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1421] target[0E80] data[62209B2001BE931735BC5AC8CEBE51D1EE03F8000005FB039101B12400001B]
14:07:45.916 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1634] data[22EE30]
14:07:46.055 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1634] target[0E80] data[62EE301000000000000000000000000000000000000000000000000000000000000000]
14:07:46.072 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1634] data[22EE12]
14:07:46.175 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1634] target[0E80] data[62EE1210A1]
14:07:46.234 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1634] data[22EE13]
14:07:46.344 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1634] target[0E80] data[62EE13005C]
14:07:46.360 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1634] data[22EE14]
14:07:46.459 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1634] target[0E80] data[62EE143C]
14:07:46.494 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1634] data[22EE66]
14:07:46.575 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1634] target[0E80] data[62EE66003D]
14:07:46.614 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1634] data[22EE67]
14:07:46.635 | [Server]-&gt;[Tracer] METADATA =&gt; key[vehicle:info:voltage] value[14.4]
14:07:46.699 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1634] target[0E80] data[62EE670011]
14:07:46.733 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1634] data[22EE68]
14:07:46.791 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1FFF] data[3E80]
14:07:46.810 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1634] target[0E80] data[62EE68000B]
14:07:46.854 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1634] data[22EE69]
14:07:46.936 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1634] target[0E80] data[62EE690E2C]
14:07:46.957 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1634] data[22EEA8]
14:07:47.041 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1634] target[0E80] data[62EEA80A]
14:07:47.094 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1634] data[22EEB7]
14:07:47.177 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1634] target[0E80] data[62EEB700]
14:07:47.224 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1431] data[22DC1F]
14:07:47.368 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1431] target[0E80] data[62DC1F0000000000000000000000]
14:07:47.384 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1241] data[22439D]
14:07:47.497 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1241] target[0E80] data[62439D0001A4EC]
14:07:47.790 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1FFF] data[3E80]
14:07:47.959 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1201] data[310120CF5643564357000000000000000000000000000000000000000000000000000000]
14:07:48.052 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1201] target[0E80] data[7F3178]
14:07:48.052 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1201] target[0E80] data[7F3122]
14:07:48.081 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1FFF] data[22F186]
14:07:48.110 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1A01] data[22DD0A]
14:07:48.145 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1021] target[0E80] data[7F2278]
14:07:48.145 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1021] target[0E80] data[62F18601]
14:07:48.160 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1212] target[0E80] data[62F18601]
14:07:48.188 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1002] target[0E80] data[62F18603]
14:07:48.188 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1637] target[0E80] data[62F18601]
14:07:48.193 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1A01] target[0E80] data[62F18601]
14:07:48.197 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1417] target[0E80] data[62F18601]
14:07:48.197 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[163C] target[0E80] data[62F18601]
14:07:48.199 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[163A] target[0E80] data[62F18601]
14:07:48.199 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1201] target[0E80] data[62F18601]
14:07:48.201 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1633] target[0E80] data[62F18601]
14:07:48.201 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1C01] target[0E80] data[62F18603]
14:07:48.202 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1401] target[0E80] data[62F18601]
14:07:48.209 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1630] target[0E80] data[62F18601]
14:07:48.240 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1416] target[0E80] data[62F18601]
14:07:48.244 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1636] target[0E80] data[62F18601]
14:07:48.256 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1432] target[0E80] data[62F18601]
14:07:48.261 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1632] target[0E80] data[62F18601]
14:07:48.266 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1A14] target[0E80] data[62F18601]
14:07:48.266 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1801] target[0E80] data[62F18601]
14:07:48.267 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1433] target[0E80] data[62F18601]
14:07:48.275 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1635] target[0E80] data[62F18601]
14:07:48.276 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1A13] target[0E80] data[62F18601]
14:07:48.276 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1451] target[0E80] data[62F18601]
14:07:48.278 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1612] target[0E80] data[62F18601]
14:07:48.279 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1A12] target[0E80] data[62F18601]
14:07:48.281 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1431] target[0E80] data[62F18601]
14:07:48.298 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1616] target[0E80] data[62F18601]
14:07:48.298 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1602] target[0E80] data[62F18601]
14:07:48.299 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1241] target[0E80] data[62F18601]
14:07:48.299 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1634] target[0E80] data[62F18601]
14:07:48.300 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1A1A] target[0E80] data[62F18601]
14:07:48.328 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1421] target[0E80] data[62F18601]
14:07:48.328 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1A17] target[0E80] data[62F18601]
14:07:48.329 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1A15] target[0E80] data[62F18601]
14:07:48.329 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1615] target[0E80] data[62F18601]
14:07:48.329 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1BB3] target[0E80] data[62F18601]
14:07:48.330 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[16A1] target[0E80] data[62F18601]
14:07:48.332 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1BB4] target[0E80] data[62F18601]
14:07:48.332 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1A11] target[0E80] data[62F18601]
14:07:48.342 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1A01] target[0E80] data[62DD0A0D]
14:07:48.410 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1A01] data[22DD02]
14:07:48.497 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1A01] target[0E80] data[62DD0239]
14:07:48.515 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1A01] data[224028]
14:07:48.586 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1A01] target[0E80] data[6240280383]
14:07:48.791 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1FFF] data[3E80]
14:07:49.792 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1FFF] data[3E80]
14:07:50.821 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1FFF] data[3E80]
14:07:51.791 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1FFF] data[3E80]
14:07:52.360 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1C01] data[1081]
14:07:52.791 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1FFF] data[3E80]
14:07:53.279 | [Server]-&gt;[Tracer] METADATA =&gt; key[connection:transceived:bytes] value[629674]
14:07:53.792 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1FFF] data[3E80]
14:07:54.662 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1A01] data[22DD0A]
14:07:54.791 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1FFF] data[3E80]
14:07:54.795 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1A01] target[0E80] data[62DD0A0D]
14:07:54.811 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1A01] data[22DD02]
14:07:54.906 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1A01] target[0E80] data[62DD0239]
14:07:54.925 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1A01] data[224028]
14:07:55.089 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1A01] target[0E80] data[6240280383]
14:07:55.792 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1FFF] data[3E80]
14:07:56.636 | [Server]-&gt;[Tracer] METADATA =&gt; key[vehicle:info:voltage] value[14.3]
14:07:56.791 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1FFF] data[3E80]
14:07:57.791 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1FFF] data[3E80]
14:07:58.791 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1FFF] data[3E80]
