
Getting data from wss://ptmessaging-eu1bc.prd.jifeline.cloud/ptmessaging/bc6621ee-2af4-400b-8bac-c08e0c3d8b65?bufferSize=1000&amp;useArrayFormat=true
14:09:49.184 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[1741] target[0E80] data[62F1134D3845322D3134443631372D434100000000000000000000]
14:09:49.245 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[1710] data[22F113]
14:09:49.264 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[1751] target[0E80] data[62F1134C3842322D3134463031322D424100000000000000000000]
14:09:49.350 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[17E6] data[22F113]
14:09:49.364 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[1710] target[0E80] data[62F1134C504C412D3134463339322D4B4300000000000000000000]
14:09:49.451 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[FFFFE400] data[3E80]
14:09:49.453 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[17E6] target[0E80] data[62F113523842322D32443532322D41440000000000000000000000]
14:09:49.538 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[1407] data[22F113]
14:09:49.627 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[1744] data[22F113]
14:09:49.694 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[1407] target[0E80] data[62F1134C3842322D3134453238382D414500000000000000000000]
14:09:49.710 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[17C6] data[22F113]
14:09:49.734 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[1744] target[0E80] data[62F1134D3845322D3134443630302D424300000000000000000000]
14:09:49.784 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[17C6] target[0E80] data[62F1134C3842322D3134463135322D425200000000000000000000]
14:09:49.806 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[17C4] data[22F113]
14:09:49.874 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[17C4] target[0E80] data[62F1134C3842322D3134463135322D425200000000000000000000]
14:09:49.890 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[1743] data[22F113]
